"word","sentiment"
"Χριστός","negative"
"αβεβαιότητα","negative"
"αγάμητος","negative"
"αγανάκτηση","negative"
"αγανακτώ","negative"
"αγάπη","positive"
"αγαπημένος","positive"
"αγαπημένη","positive"
"αγαπημένος ","positive"
"αγαπητός","positive"
"αγαπητή","positive"
"αγαπητό","positive"
"αγαπώ","positive"
"άγγελος ","positive"
"αγέλη","negative"
"αγευσία","negative"
"αγκουσεύω","negative"
"αγνός","positive"
"αγνή","positive"
"αγνό","positive"
"αγορεύω","negative"
"αγρίεμα","negative"
"αγριεύω","negative"
"αγροτοπατέρας","negative"
"άγχος","negative"
"αγωνία","negative"
"αγωνιώ","negative"
"αδειάζω ","negative"
"άδειασμα","negative"
"άδειος","negative"
"άδεια","negative"
"άδειο","negative"
"αδελφάτο","negative"
"αδελφή","positive"
"αδελφικός","positive"
"αδελφική","positive"
"αδελφικό","positive"
"αδελφός","positive"
"αδελφοσύνη","positive"
"αδελφούλης","positive"
"αδερφός","positive"
"αδερφούλης","positive"
"αδιάθετος","negative"
"αδιάθετη","negative"
"αδιάθετο","negative"
"αδιάλυτος","negative"
"αδιάλυτη","negative"
"αδιάλυτο","negative"
"αδιάντροπος","negative"
"αδιάντροπη","negative"
"αδιάντροπο","negative"
"αδιαφορία","negative"
"άδολος","positive"
"άδολη","positive"
"άδολο","positive"
"αεροβατώ","negative"
"αηδής","negative"
"αηδές","negative"
"αηδία","negative"
"αηδιάζω","negative"
"άθλος","positive"
"αιδημοσύνη","negative"
"αιδώς","negative"
"αίμα","negative"
"αιρεσιάρχης","negative"
"αισθαντικός","positive"
"αισθαντική","positive"
"αισθαντικό","positive"
"αισθαντικότητα","positive"
"αισθηματίας","positive"
"αισθηματικός","positive"
"αισθηματική","positive"
"αισθηματικό","positive"
"αισθηματικότητα","positive"
"αισθηματισμός","negative"
"αισθηματολογία","negative"
"αισθηματολόγος","negative"
"αισθηματολόγα","negative"
"αισθηματολόγο","negative"
"αισθηματολογώ","negative"
"αισθητικός","positive"
"αισθητική","positive"
"αισθητικό","positive"
"ακαλαισθησία","negative"
"ακαλαίσθητος","negative"
"ακαλαίσθητη","negative"
"ακαλαίσθητο","negative"
"ακαλλιέργητος","negative"
"ακαλλιέργητη","negative"
"ακαλλιέργητο","negative"
"άκαπνος","negative"
"άκαπνος","negative"
"άκαρδος","negative"
"άκαρδη","negative"
"άκαρδο","negative"
"ακηδεμόνευτος","negative"
"ακόρεστος","negative"
"ακόρεστη","negative"
"ακόρεστο","negative"
"ακούραστος","positive"
"ακούραστη","positive"
"ακούραστο","positive"
"ακουστικός","positive"
"ακουστική","positive"
"ακουστικό","positive"
"ακούω","positive"
"ακτινοβόλος","positive"
"ακτινοβόλα","positive"
"ακτινοβόλο","positive"
"άλαλος","negative"
"άλαλη","negative"
"άλαλο","negative"
"αλεπού","negative"
"αλευρώνω","negative"
"αλητάκι","negative"
"αλητάκος","negative"
"αλητάμπουρας","negative"
"αληταράς","negative"
"αληταριό","negative"
"αλήτης","negative"
"αλήτης","negative"
"αλητοπαρέα","negative"
"αλητοτουρίστας","negative"
"αλιεύω","negative"
"αλλαξοκωλιά","negative"
"αλλάχ","negative"
"αλληθωρίζω","negative"
"αλλόπιστος","negative"
"αλόγα","negative"
"αλογικός","negative"
"αλογική","negative"
"αλογικό","negative"
"αλογομούρης","negative"
"αλτρουιστικός","positive"
"αλτρουιστική","positive"
"αλτρουιστικό","positive"
"αλύπητος","negative"
"αλύπητη","negative"
"αλύπητο","negative"
"αλυσίδα","negative"
"αλύτρωτος","negative"
"αμάν","negative"
"αμίμητος","positive"
"αμοιβαίος","positive"
"αμοιβαία","positive"
"αμοιβαίο","positive"
"αμοιβαιότητα","positive"
"αμφιθυμία","negative"
"ανάβω","negative"
"αναγαλλιάζω","positive"
"ανάθεμα","negative"
"αναιδής","negative"
"αναιδές","negative"
"αναισθησία","negative"
"αναίσθητος","negative"
"αναίσθητη","negative"
"αναίσθητο","negative"
"αναισχυντία","negative"
"αναίσχυντος","negative"
"αναίσχυντη","negative"
"αναίσχυντο","negative"
"ανακάτεμα","negative"
"ανακατεύω","negative"
"ανακράζω","negative"
"αναλγησία","negative"
"αναλιγώνω","negative"
"άναμμα","negative"
"αναπηδώ","negative"
"αναπλάθω","positive"
"ανάπλαση","positive"
"αναπτερώνω","positive"
"αναριγώ","negative"
"αναρριπίζω","positive"
"ανασκιρτώ","negative"
"ανάστατος","negative"
"ανάστατη","negative"
"ανάστατο","negative"
"αναστατώνω","negative"
"αναστάτωση","negative"
"αναστεναγμός","negative"
"ανασφάλεια","negative"
"ανατριχιάζω","negative"
"ανατριχίλα","negative"
"άναυδος","negative"
"άναυδη","negative"
"άναυδο","negative"
"ανδραγάθημα","positive"
"ανδρείκελο","negative"
"ανειλικρινής","negative"
"ανειλικρινές","negative"
"ανεκδήλωτος","negative"
"ανεκδήλωτη","negative"
"ανεκδήλωτο","negative"
"ανεκδιήγητος","negative"
"ανεκδοτολογία","negative"
"ανέκφραστος","negative"
"ανέκφραστη","negative"
"ανέκφραστο","negative"
"ανελεήμονας","negative"
"ανελέητος","negative"
"ανελέητή","negative"
"ανελέητο","negative"
"ανεντρόπιαστος","negative"
"ανεντρόπιαστη","negative"
"ανεντρόπιαστο","negative"
"άνεση","positive"
"ανευθυνολογώ","negative"
"ανεύθυνος","negative"
"ανεύθυνη","negative"
"ανεύθυνο","negative"
"ανθρωπάκι","negative"
"ανθρωπάκος","negative"
"ανθρωπιά","positive"
"ανθρώπινος","positive"
"ανθρώπινη","positive"
"ανθρώπινο","positive"
"άνθρωπος","positive"
"ανθρωποφοβία","negative"
"ανία","negative"
"ανικανοποίητος","negative"
"ανικανοποίητη","negative"
"ανικανοποίητο","negative"
"ανόθευτος","positive"
"ανόθευτη","positive"
"ανόθευτο","positive"
"άνοια","negative"
"ανορθώνω","positive"
"άνοστος","negative"
"άνοστη","negative"
"άνοστο","negative"
"ανταποκρίνομαι","positive"
"άντες","negative"
"αντιαμερικανικός","negative"
"αντιαμερικανική","negative"
"αντιαμερικανικό","negative"
"αντιγραφέας","negative"
"αντιπάθεια","negative"
"αντιπαθώ","negative"
"αντισημιτικός","negative"
"αντισημιτική","negative"
"αντισημιτικό","negative"
"αντιστέκομαι","negative"
"αντίχριστος","negative"
"ανυπόκριτος","positive"
"ανυπόκριτη","positive"
"ανυπόκριτο","positive"
"ανυπομονησία","positive"
"ανυπομονώ","positive"
"ανώριμος","negative"
"ανώριμη","negative"
"ανώριμο","negative"
"ανώτερος","positive"
"ανώτερη","positive"
"ανώτερο","positive"
"ανωτερότητα","positive"
"αξία","positive"
"αξιολάτρευτος","positive"
"αξιολάτρευτη","positive"
"αξιολάτρευτο","positive"
"αόριστος","negative"
"αόριστη","negative"
"αόριστο","negative"
"απαίσιος","negative"
"απαίσια","negative"
"απαίσιο","negative"
"απαλύνω","positive"
"απανθρωπιά","negative"
"απανθρωποποίηση","negative"
"απάνθρωπος","negative"
"απάνθρωπη","negative"
"απάνθρωπο","negative"
"απαξάπαντες","negative"
"απελπισία","negative"
"απελπισμένος","negative"
"απελπισμένη","negative"
"απελπισμένο","negative"
"απερίγραπτος","negative"
"απερίγραπτη","negative"
"απερίγραπτο","negative"
"απεχθάνομαι","negative"
"απέχθεια","negative"
"απήδηχτος","negative"
"απλός","positive"
"απλή","positive"
"απλό","positive"
"απογοήτευση","negative"
"απογοητεύω","negative"
"αποδοκιμασία","negative"
"αποδώ","negative"
"αποζουρλαίνω","negative"
"απόλαυση","positive"
"απολειφάδι","negative"
"απονάρκωση","negative"
"άπονος","negative"
"άπονη","negative"
"άπονο","negative"
"απορφανίζω","negative"
"απόσκατα","negative"
"αποστασιοποιούμαι","negative"
"αποστέρηση","negative"
"αποστρέφομαι","negative"
"αποστροφή ","negative"
"αποτροπιασμός","negative"
"αποτυφλώνω","negative"
"αποχαιρετισμός","negative"
"αποχωρισμός","negative"
"απροίκιστος","negative"
"απύθμενος","negative"
"απύθμενη","negative"
"απύθμενο","negative"
"απώθηση","negative"
"απωθώ","negative"
"αραμπάς","negative"
"αράπακλας","negative"
"αράπης","negative"
"αραπιά","negative"
"αρβανίτης","negative"
"αρβανίτικος","negative"
"αρβύλα","negative"
"αρειμάνιος","negative"
"αρέσκομαι","positive"
"αρέσω","positive"
"αριστοκράτης","negative"
"αριστοκρατία","negative"
"αριστοκράτισσα","negative"
"αρμονία","positive"
"αρναούτης","negative"
"αρναούτικος","negative"
"αρρωστημένος","negative"
"άρρωστος","negative"
"αρρωστοφαγία","negative"
"αρχαίος","negative"
"αρχαίος","negative"
"αρχιδάτος","positive"
"αρχίδι","negative"
"αρχίδι","negative"
"αρχικλέφταρος","negative"
"αρχικλέφτης","negative"
"αρχιμασόνος","negative"
"αρχιμαφιόζος","negative"
"αρχιτέκτονας","positive"
"αρχιτεμπέλα","negative"
"αρχιτεμπέλης","negative"
"αρχιψεύτης","negative"
"αρχιψεύτρα","negative"
"αρχομανής","negative"
"αρχοντάνθρωπος","positive"
"αρχοντο-","positive"
"ασάκια","positive"
"άσεμνος","negative"
"άσεμνη","negative"
"άσεμνο","negative"
"ασκέρι","negative"
"άσος","positive"
"ασπίδα ","negative"
"άσπονδος","negative"
"ασπόνδυλος","negative"
"ασπροπρόσωπος","positive"
"ασπροπρόσωπη","positive"
"ασπροπρόσωπο","positive"
"ασπρουλιάρης","negative"
"ασσάκια","positive"
"άσσος","positive"
"αστάθεια","negative"
"άστατος","negative"
"άστατη","negative"
"άστατο","negative"
"αστοιχείωτος","negative"
"άστοργος","negative"
"άστοργη","negative"
"άστοργο","negative"
"αστράφτω","positive"
"ασυναίσθητος","negative"
"ασυναίσθητη","negative"
"ασυναίσθητο","negative"
"ασύνδετος","negative"
"ασύνδετη","negative"
"ασύνδετο","negative"
"ασφάλεια","positive"
"ασφαλής","positive"
"ασφαλές","positive"
"ασφαλίτης","negative"
"ασφυκτικός","negative"
"ασφυκτική","negative"
"ασφυκτικό","negative"
"ασφυκτιώ","negative"
"ασφυξία","negative"
