0,ξεκινάει παγκόσμιο πρωτάθλημα κορωνοϊού βρετανία κατεβαίνει παραδοσιακό σύστημα ανοσία αγέλης φουλ επίθεση ελάχιστη προσοχή άμυνα γερμανία πολλές στενό τέστινγκ καραντινα μενουμεσπιτι κυβερνηση μητσοτακη,4,2020-04-02 23:43:47 GTB Daylight Time,1,0,0,"['καραντινα', 'μενουμεσπιτι', 'κυβερνηση_μητσοτακη', 'coronavirus', 'covid19']"
1,ώρα βγούμε μπαλκόνι χειροκροτήσουμε μαρέβα κυβερνηση μητσοτακη κορωνοϊός,4,2020-04-02 23:35:58 GTB Daylight Time,0,0,0,"['κυβερνηση_μητσοτακη', 'κορωνοϊός', 'covid19']"
2,σύνολο οικονομικών μέτρων έχει εξαγγείλει κυβέρνηση ανακουφίζουν τους εργαζομένους αυτοαπασχολούμενους ευάλωτες κοινωνικές ομάδες από άχθος οικονομικών υποχρεώσεων απλώνει δίχτυ προστασίας στα νοικοκυριά πλήττονται,2,2020-04-02 22:16:52 GTB Daylight Time,0,0,1,"['covid19', 'vouli']"
3,πιστεύετε ότι υψηλό ποσοστό έλαβε κυβέρνηση μέτρα της κορωνοϊου οφείλεται αποκλειστικά στα μέτρα οποία έλαβε στα μέτρα έλαβε σχέση μέτρα ελήφθησαν από υπόλοιπες χώρες,1,2020-04-02 21:47:57 GTB Daylight Time,0,0,0,"['κορωνοϊου', 'covid19']"
4,μενουμε σπιτι καραντινα κυβερνηση μητσοτακη γυάλισε ματι μου λεμεεεε καλύπτει ένας περίπατος όλα αυτά θέλει ένας φυσιολογικός άνθρωπος θελω τη ζωη μου πησω βασικά αυτό παλεύω,4,2020-04-02 21:45:21 GTB Daylight Time,0,0,1,"['μενουμε_σπιτι', 'καραντινα', 'covid19', 'κυβερνηση_μητσοτακη']"
5,είναι πολύ κρίσιμο χρονικό σημείο οποίο κυβέρνηση μητσοτάκη οφείλει λάβει μέτρα στηρίξει ελληνική κοινωνία κορονοϊος,3,2020-04-02 21:37:09 GTB Daylight Time,1,8,9,"['κυβέρνηση_μητσοτάκη', 'κορονοϊος', 'covid19']"
6,μιλάμε κυβερνησάρα μέσα μόλις μέρες ένας μόνο υπουργός αναίρεσε απολύσεις σκεφτείτε όλη κυβερνηση μητσοτακη μαζί ευημερία μας οδηγήσει γι αυτό ξαναψηφίστε ειδικά είστε μεταξύ κορωνοϊός,4,2020-04-02 21:26:39 GTB Daylight Time,1,0,0,"['κυβερνηση_μητσοτακη', 'covid19', 'κορωνοϊός']"
7,ελλάδα δυστυχώς βλέπουμε ότι γίνεται συζήτηση ουσιαστική στήριξη επιχειρήσεων κυβέρνηση μητσοτάκη κορονοϊός,3,2020-04-02 21:10:52 GTB Daylight Time,0,7,9,"['κυβέρνηση_μητσοτάκη', 'κορονοϊός', 'covid19']"
8,από εκεί πέρα κυβέρνηση μητσοτάκη πρέπει αντιληφθεί ότι υπάρχει πολύ μεγάλος αριθμός συμπολιτών μας οποίοι είναι μακροχρόνια άνεργοι γι αυτούς δυστυχώς προβλέπεται τίποτα κορονοϊός,4,2020-04-02 21:00:33 GTB Daylight Time,0,8,8,"['κυβέρνηση_μητσοτάκη', 'μακροχρόνια_άνεργοι', 'κορονοϊός', 'covid19']"
9,μπορούμε διερωτώμεθα ποιους λόγους υπάρχουν αυξημένες τιμές λαϊκή αγορά όταν παραγωγοί της επαρχίας αποκλείονται άρα ελάχιστοι παραγωγοί παραμένουν ανεβάζουν τιμές όσο αυτοί θέλουν κυβέρνηση μητσοτάκη κορονοϊός,3,2020-04-02 21:00:33 GTB Daylight Time,1,8,8,"['λαϊκή_αγορά', 'κυβέρνηση_μητσοτάκη', 'κορονοϊός', 'covid19']"
10,υπάρχει ένα πολύ μεγάλο ζήτημα τους παραγωγούς λαϊκών αγορών υπάρχουν εκκλήσεις αυτών ανθρώπων προτείνουν γίνεται σταδιακά μετάβασή τους στις λαϊκές αγορές κυβέρνηση μητσοτάκη κορονοϊός,3,2020-04-02 21:00:32 GTB Daylight Time,1,8,8,"['λαϊκές_αγορές', 'κυβέρνηση_μητσοτάκη', 'κορονοϊός', 'covid19']"
11,θέλουμε πρωτογενή τομέα χώρα ειδικά τελευταίες ημέρες όσο πλησιάζουμε πάσχα εκκλήσεις κτηνοτρόφων γίνονται πιο έντονες βλέπουμε ότι δυστυχώς εισακούονται από κυβέρνηση μητσοτάκη κτηνοτρόφοι κορονοϊός,3,2020-04-02 20:54:46 GTB Daylight Time,0,8,9,"['κυβέρνηση_μητσοτάκη', 'κτηνοτρόφοι', 'κορονοϊός', 'covid19']"
12,βλέπουμε ότι μεγάλες μερίδες συμπολιτών μας όπως κτηνοτρόφοι ή αγρότες περιλαμβάνονται κανένα από μέτρα εξαγγέλλει αποσπασματικά κυβέρνηση μητσοτάκη κορονοϊός,3,2020-04-02 20:54:44 GTB Daylight Time,1,8,9,"['κτηνοτρόφοι', 'αγρότες', 'κυβέρνηση_μητσοτάκη', 'κορονοϊός', 'covid19']"
13,πριν λαθρομεταναστευτικο ήταν θέμα εθνικό πολιτικό κοινωνικό λ π τώρα είναι θέμα ζωης θανατου κυβερνηση μητσοτακη,3,2020-04-02 19:34:02 GTB Daylight Time,1,3,9,"['covid19', 'λαθρομεταναστευτικο', 'κυβερνηση_μητσοτακη']"
14,αποθεώνουν ρώσοι γενικότερα ελληνική κυβέρνηση μητσοτακης απαγορευση κυκλοφοριας,2,2020-04-02 18:59:10 GTB Daylight Time,0,0,0,"['μητσοτακης', 'απαγορευση_κυκλοφοριας', 'covid19']"
