tweet,label,#pos,#neg
ξεκιναει παγκοσμιο πρωταθλημα βρετανια κατεβαινει παραδοσιακο συστημα ανοσια αγελης φουλ επιθεση ελαχιστη προσοχη αμυνα γερμανια πολλες μεθ στενο τεστινγκ καραντινα μενουμεσπιτι,4,0,0
ωρα βγουμε μπαλκονι χειροκροτησουμε μαρεβα,4,0,0
συνολο οικονομικων μετρων εχει εξαγγειλει ανακουφιζουν εργαζομενους αυτοαπασχολουμενους ευαλωτες κοινωνικες ομαδες αχθος οικονομικων υποχρεωσεων απλωνει διχτυ προστασιας νοικοκυρια πληττονται,2,0,0
πιστευετε υψηλο ποσοστο ελαβε μετρα οφειλεται αποκλειστικα μετρα οποια ελαβε μετρα ελαβε σχεση μετρα εληφθησαν υπολοιπες χωρες,1,0,0
μενουμε σπιτι καραντινα γυαλισε ματι λεμεεεε δεν καλυπτει ενας περιπατος ολα θελει ενας φυσιολογικος ανθρωπος θελω ζωη πησω βασικα δεν παλευω,4,3,0
πολυ κρισιμο χρονικο σημειο οποιο οφειλει λαβει μετρα στηριξει ελληνικη κοινωνια,3,0,0
μιλαμε κυβερνησαρα μεσα μολις μερες ενας μονο υπουργος αναιρεσε απολυσεις σκεφτειτε ολη μαζι ευημερια οδηγησει γι ξαναψηφιστε ειδικα μεταξυ,4,0,1
ελλαδα δυστυχως βλεπουμε δε γινεται συζητηση ουσιαστικη στηριξη επιχειρησεων,3,0,0
εκει περα πρεπει αντιληφθει υπαρχει πολυ μεγαλος αριθμος συμπολιτων οποιοι μακροχρονια ανεργοι γι αυτους δυστυχως δεν προβλεπεται τιποτα,3,0,0
δεν μπορουμε διερωτωμεθα ποιους λογους υπαρχουν αυξημενες τιμες λαικη αγορα οταν παραγωγοι επαρχιας αποκλειονται αρα ελαχιστοι παραγωγοι παραμενουν ανεβαζουν τιμες θελουν,3,0,0
υπαρχει ενα πολυ μεγαλο ζητημα παραγωγους λαικων αγορων υπαρχουν εκκλησεις ανθρωπων προτεινουν γινεται σταδιακα μεταβαση λαικες αγορες,3,0,0
θελουμε πρωτογενη τομεα χωρα ειδικα τελευταιες ημερες πλησιαζουμε πασχα εκκλησεις κτηνοτροφων γινονται πιο εντονες βλεπουμε δυστυχως δεν εισακουονται κτηνοτροφοι,3,0,0
βλεπουμε μεγαλες μεριδες συμπολιτων οπως κτηνοτροφοι αγροτες δεν περιλαμβανονται κανενα μετρα εξαγγελλει αποσπασματικα,3,0,0
πριν λαθρομεταναστευτικο ηταν θεμα εθνικο πολιτικο κοινωνικο λ τωρα θεμα ζωης θανατου,3,0,0
αποθεωνουν ρωσοι γενικοτερα ελληνικη απαγορευση κυκλοφοριας,2,0,0
απαγορευσε τσιγαρο κυκλοφορια εκκλησια κολυμπι δεν ξερω τωρα ακομα επιτρεπεται αναπνοη ξεφτιλα μεταναστευτικο αντικαπνιστικος μενουμε σπιτι απαγορευση κυκλοφοριας καραντινα ξεφτιλες συριζα ξεφτιλες,4,1,0
