tweet,label,#pos,#neg
ξεκιν παγκοσμ πρωταθλημ βρεταν κατεβαιν παραδοσιακ συστημ ανος αγελ φουλ επιθες ελαχιστ προσοχ αμυν γερμαν πολλ μεθ στεν τεστινγκ καραντιν μενουμεσπιτ,4,0,0
ωρ βγ μπαλκον χειροκροτ μαρεβ,4,0,0
συνολ οικονομ μετρ εχ εξαγγειλ ανακουφιζ εργαζομεν αυτοαπασχολουμεν ευαλωτ κοινων ομαδ αχθ οικονομ υποχρεως απλων διχτ προστας νοικοκυρ πληττ,2,0,0
πιστευ υψηλ ποσοστ ελαβ μετρ οφειλ αποκλειστ μετρ οποι ελαβ μετρ ελαβ σχες μετρ εληφθ υπολοιπ χωρ,1,0,0
μεν σπιτ καραντιν γυαλις ματ λεμεεε δεν καλυπτ εν περιπατ ολ θελ εν φυσιολογ ανθρωπ θελ ζω βασικ δεν παλευ,4,3,0
πολ κρισιμ χρον σημει οποι οφειλ λαβ μετρ στηριξ ελλην κοινων,3,0,0
μιλ κυβερνησαρ μεσα μολις μερ εν μον υπουργ αναιρες απολυς σκεφτ ολ μαζ ευημερ οδηγ γι ξαναψηφιστ ειδικ μεταξυ,4,0,1
ελλαδ δυστυχως βλεπ δε γιν συζητης ουσιαστ στηριξ επιχειρης,3,0,0
εκει περα πρεπ αντιληφθ υπαρχ πολ μεγαλ αριθμ συμπολιτ οποι μακροχρον ανεργ γι αυτ δυστυχως δεν προβλεπ τιποτα,3,0,0
δεν μπορ διερωτωμεθ ποι λογ υπαρχ αυξημεν τιμ λαικ αγορ οταν παραγωγ επαρχ αποκλει αρα ελαχιστ παραγωγ παραμεν ανεβαζ τιμ θελ,3,0,0
υπαρχ εν πολ μεγαλ ζητημ παραγωγ λαικ αγορ υπαρχ εκκλης ανθρωπ προτειν γιν σταδιακ μεταβας λαικ αγορ,3,0,0
θελ πρωτογεν τομ χωρ ειδικ τελευται ημερ πλησιαζ πασχ εκκλης κτηνοτροφ γιν πιο εντον βλεπ δυστυχως δεν εισακου κτηνοτροφ,3,0,0
βλεπ μεγαλ μεριδ συμπολιτ οπως κτηνοτροφ αγροτ δεν περιλαμβαν κανεν μετρ εξαγγελλ αποσπασματ,3,0,0
πριν λαθρομεταναστευτ ητ θεμ εθν πολιτ κοινων τωρ θεμ ζω θανατ,3,0,0
αποθεων ρως γενικ ελλην απαγορευς κυκλοφορ,2,0,0
απαγορευς τσιγαρ κυκλοφορ εκκλης κολυμπ δεν ξερ τωρ ακομ επιτρεπ αναπνο ξεφτιλ μεταναστευτ αντικαπνιστ μεν σπιτ απαγορευς κυκλοφορ καραντιν ξεφτιλ συριζ ξεφτιλ,4,1,0
χιλιαδ ζω εξαρτωντα κρισιμ αποφας ανθρωπ δεν ξερ φορες ουτε μασκ καραντιν τσιρκ κοροναι θελατ ρομπ,3,0,0
στ πετς πιο κρισιμ φας πολεμ υγει πανδημ,3,0,0
μεταξυ ειχ εδω δικ αδωνις βενζιν κυριολεκτ κατακρημνιστ,2,0,0
γιν μπανι θαλασς εξεταζ κοροναι μενουμεσπιτ,1,0,0
εμπαιγμ κατηγορ δικηγορ κοροναι μενουμεσπιτ,1,0,0
ισπαν συμφων εφημεριδ διατηρ λουκετ ποδοσφαιρ εως τελευται επιπεδ συναγερμ,1,0,0
αποψ απριλ σκληρ μην γραφ παπαγιαννιδ οικονομ,3,0,0
κροατομουσουλμαν ομοσπονδ βοσν ερζεγοβιν ανακοινως πακετ μετρ υψ εκατομμυρ ευρ στηριξ επιχειρης νοικοκυρ πανδημ,2,0,0
γιουκον καναδ ζητ σταματ μεταλλει λειτουργ εκατονταδ εργατ κυλιομεν βαρδ γιατι μεγαλ κινδυν μεταδος κοινοτητ χαλκιδ δεν κινδυν,1,0,0
βουλγαρ προτειν παρατας καταστας εκτακτ αναγκ βαλκαν,1,0,0
δασκαλ προς επειγοντως ανοιξτ σχολει προτ μαθητ μαθ σκεφτ εαυτ μεν σπιτ παρανοι,4,1,0
βουλγαρ προτειν παρατας καταστας εκτακτ αναγκ μεχρι μαΐου πλαισι μετρ αντιμετωπις πανδημ κορονοι,1,0,0
κοιταξτ εδω νουμερ ηπα σημερ ποσοστ αυξης πολιτει νοτ πομπε ανακοινως αμερικαν παιρν υγειονομ υλ ρως γιατι αποθεμ ηπα τελειως εσυ μενουμεστοσπιτ,3,0,0
μαλακ σκεφτ πλησιαζ επετει χρον διακυβερνης ηγετ κυμ τρομαζ αλλ επιφυλλας θε γκαντεμοσαυρ πρωταπριλ απαγορευς κυκλοφορ,4,0,1
υγει στιγμ παιζ παγκοσμ χρηματιστηρ ομολογ δημος υγει βουλ,4,0,1
ιταλ παρατειν επισημ μετρ προστας μεχρι απριλ μεν σπιτ,1,1,0
αυστηρ μετρ μελετ αλλαζ δυνατοτητ εξοδ σπιτ χρον διαρκει βολτ κοροναι πανδημ,1,1,0
αυστηρ μετρ μελετ αλλαζ δυνατοτητ εξοδ σπιτ χρον διαρκει βολτ κοροναι πανδημ,1,1,0
γεννημ πρωτ βλεπ συνωστισμ αντιδρ κιναλ,3,0,0
πρωτ βλεπ συνωστισμ αντιδρ μεν σπιτ απαγορευσηκυκλοφορ,3,1,0
αυστηρ περιορισμ μετακινης αποφασις γραφ γιανν καμπουρακ μετακινης,1,0,0
